timestamp,T_amb,RH,v,G,T_sky,Q_net
2026-06-19 01:20:00,27.1,55.10000000000004,0.6969999999999996,0.8,-4.540000000000033,-48.206392666666645
2026-06-19 01:25:00,27.03,56.00000000000003,0.7039999999999995,0.8,2.1699999999999666,-50.785379716666654
2026-06-19 01:30:00,26.9,57.60000000000003,1.1939999999999997,0.4000000000003979,13.309999999999965,-53.31622126666665
2026-06-19 01:35:00,26.81,58.70000000000003,0.8669999999999998,0.4000000000003979,14.899999999999967,-54.90010796666665
2026-06-19 01:40:00,26.740000000000002,59.10000000000004,0.5129999999999997,0.9000000000003979,15.409999999999968,-53.421607383333324
2026-06-19 01:45:00,26.68,59.900000000000034,0.7139999999999997,1.0,16.899999999999967,-50.67621476666665
2026-06-19 01:50:00,26.65,60.80000000000003,0.7549999999999997,1.2000000000003979,17.109999999999964,-48.42482119999998
2026-06-19 01:55:00,26.61,60.900000000000034,0.7929999999999997,1.2000000000003979,17.839999999999968,-46.90032143333332
2026-06-19 02:00:00,26.560000000000002,60.8,0.7199999999999998,1.0,18.829999999999966,-49.072295683333316
2026-06-19 02:05:00,26.49,61.10000000000003,0.6839999999999997,1.0,17.819999999999965,-52.40767108333331
2026-06-19 02:10:00,26.41,61.60000000000003,0.9739999999999998,1.0,17.219999999999967,-53.601361199999985
2026-06-19 02:15:00,26.340000000000003,61.8,0.9839999999999998,1.0,16.999999999999964,-54.96931263333332
2026-06-19 02:20:00,26.3,61.8,0.6429999999999997,0.9000000000003979,16.769999999999968,-57.30528074999998
2026-06-19 02:25:00,26.3,61.10000000000003,0.5469999999999997,1.200000000000398,16.689999999999966,-59.29424271666666
2026-06-19 02:30:00,26.3,60.00000000000003,0.4539999999999996,1.500000000000398,14.589999999999966,-59.939109866666655
2026-06-19 02:35:00,26.27,59.10000000000004,0.5939999999999996,1.600000000000398,12.029999999999966,-58.72394074999998
2026-06-19 02:40:00,26.21,58.30000000000003,0.9269999999999996,1.600000000000398,14.059999999999965,-58.10163021666665
2026-06-19 02:45:00,26.14,58.0,1.0839999999999996,1.7000000000003979,16.589999999999964,-58.941041716666646
2026-06-19 02:50:00,26.090000000000003,58.0,0.8709999999999996,1.600000000000398,16.129999999999963,-59.879256483333315
2026-06-19 02:55:00,26.04,58.50000000000003,0.7289999999999996,1.500000000000398,15.489999999999963,-59.29695946666665
2026-06-19 03:00:00,26.0,59.0,0.8709999999999997,1.8,15.299999999999965,-58.677413033333316
2026-06-19 03:05:00,25.97,59.0,0.9049999999999996,1.8,15.24,-59.10718774999998
2026-06-19 03:10:00,25.889999999999997,59.400000000000034,0.6799999999999997,1.4000000000003978,15.119999999999965,-59.06969541666665
2026-06-19 03:15:00,25.82,59.8,0.3929999999999997,1.0,15.449999999999964,-59.14309023333332
2026-06-19 03:20:00,25.75,59.900000000000034,0.3959999999999997,1.100000000000398,15.439999999999966,-60.06561298333332
2026-06-19 03:25:00,25.7,60.60000000000004,0.5599999999999996,1.4000000000003978,14.889999999999965,-60.45179091666665
2026-06-19 03:30:00,25.7,61.400000000000034,0.8039999999999996,1.8000000000003977,14.689999999999966,-58.95591183333332
2026-06-19 03:35:00,25.659999999999997,62.20000000000003,0.8889999999999996,1.500000000000398,14.499999999999964,-57.40924078333332
2026-06-19 03:40:00,25.6,62.900000000000034,0.7269999999999996,1.0,14.329999999999963,-58.59978729999999
2026-06-19 03:45:00,25.54,63.10000000000004,0.48699999999999966,1.0,14.189999999999966,-61.323506516666654
2026-06-19 03:50:00,25.47,62.900000000000034,0.3049999999999997,1.0,13.109999999999964,-62.24216078333332
2026-06-19 03:55:00,25.46,61.60000000000004,0.3659999999999997,1.1000000000003978,-3.390000000000036,-62.19185578333332
2026-06-19 04:00:00,25.45,59.80000000000003,0.6919999999999997,1.1000000000003978,-20.390000000000036,-61.28430873333332
2026-06-19 04:05:00,25.46,58.60000000000004,0.7789999999999997,1.500000000000398,-21.730000000000032,-62.25813181666665
2026-06-19 04:10:00,25.5,57.80000000000003,0.8219999999999996,2.3000000000003977,-21.080000000000034,-62.435095116666645
2026-06-19 04:15:00,25.46,57.4,0.7759999999999997,2.4000000000003983,-21.050000000000033,-60.811387783333316
2026-06-19 04:20:00,25.43,57.60000000000003,0.7139999999999997,2.3000000000003977,-21.270000000000035,-60.121834999999976
2026-06-19 04:25:00,25.419999999999998,57.50000000000003,0.7159999999999997,2.3000000000003977,-20.780000000000037,-58.17650158333332
2026-06-19 04:30:00,25.35,57.10000000000004,0.6369999999999996,2.000000000000398,-18.450000000000035,-57.76720548333331
2026-06-19 04:35:00,25.29,56.900000000000034,0.6529999999999996,1.700000000000398,-18.830000000000034,-57.078370983333315
2026-06-19 04:40:00,25.21,57.50000000000003,0.6849999999999996,1.200000000000398,-21.250000000000036,-55.440554866666645
2026-06-19 04:45:00,25.11,58.2,0.7179999999999996,1.000000000000398,-21.110000000000035,-55.797954933333315
2026-06-19 04:50:00,25.090000000000003,58.50000000000003,0.6819999999999997,1.4000000000003978,-20.940000000000033,-55.443066316666645
2026-06-19 04:55:00,25.0,59.900000000000034,0.6199999999999997,1.500000000000398,-20.820000000000036,-51.83072526666665
2026-06-19 05:00:00,24.89,60.60000000000004,0.7259999999999996,1.3000000000003977,-20.610000000000035,-51.27457358333332
2026-06-19 05:05:00,24.86,60.30000000000003,0.9309999999999996,1.100000000000398,-20.380000000000038,-53.77658139999998
2026-06-19 05:10:00,24.9,60.70000000000003,0.9559999999999996,1.500000000000398,-20.360000000000035,-54.20402273333332
2026-06-19 05:15:00,24.98,61.30000000000003,1.1299999999999997,2.0,-20.470000000000034,-53.61238534999998
2026-06-19 05:20:00,25.009999999999998,62.00000000000003,1.3749999999999996,2.0,-20.580000000000034,-51.908687866666654
2026-06-19 05:25:00,25.009999999999998,62.80000000000003,1.3189999999999995,2.0,-20.640000000000036,-52.44003141666664
2026-06-19 05:30:00,25.0,63.2,1.0859999999999996,2.500000000000398,-20.330000000000034,-53.98278201666665
2026-06-19 05:35:00,25.0,63.30000000000003,0.7879999999999996,3.600000000000398,-19.950000000000035,-53.95277441666666
2026-06-19 05:40:00,25.0,63.60000000000003,0.5569999999999997,5.000000000000398,-19.910000000000036,-54.48142414999998
2026-06-19 05:45:00,24.55,65.00000000000003,0.7369999999999997,6.200000000000397,-20.180000000000035,-40.01809717833332
2026-06-19 05:50:00,23.14,69.10000000000004,1.3739999999999997,7.000000000000398,-20.770000000000035,-28.298148994999984
2026-06-19 05:55:00,21.98,72.80000000000004,1.6079999999999997,9.500000000000398,-21.14,-36.15333756666665
2026-06-19 06:00:00,21.61,74.80000000000004,1.6529999999999996,15.200000000000397,-21.160000000000036,-40.21882234999998
2026-06-19 06:05:00,21.380000000000003,76.50000000000003,1.6179999999999994,21.3000000000004,-21.250000000000036,-42.359081183333316
2026-06-19 06:10:00,21.29,77.10000000000004,1.2499999999999996,24.1000000000004,-21.370000000000033,-43.49821868333332
2026-06-19 06:15:00,21.33,77.2,0.9799999999999998,32.5000000000004,-21.440000000000033,-45.57413669999998
2026-06-19 06:20:00,21.48,76.90000000000003,0.8159999999999996,47.400000000000404,-21.480000000000036,-48.020759516666644
2026-06-19 06:25:00,21.560000000000002,76.40000000000003,0.9059999999999997,59.7000000000004,-21.540000000000035,-45.87335316666665
2026-06-19 06:30:00,21.68,75.80000000000004,0.7999999999999996,70.70000000000041,-21.800000000000036,-46.53225069999998
2026-06-19 06:35:00,21.86,75.20000000000005,0.6079999999999997,81.6000000000004,-22.160000000000036,-43.673490883333315
2026-06-19 06:40:00,22.089999999999996,74.40000000000003,0.5099999999999997,92.4000000000004,-22.190000000000037,-44.30448403333331
2026-06-19 06:45:00,22.32,73.50000000000003,0.5319999999999996,103.4000000000004,-22.120000000000037,-44.74464724999998
