[Connect DataFile][2.1]
Date:	20/04/2026
Time:	11:19:49
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
001:23:00,000	7,9	27,4	26,4	7,9	0,0	0,0	0,0	0,950	0,000	5023,343	0,0	7,9		12:42:49:473		
001:24:00,000	13,5	28,0	27,0	13,5	0,0	0,0	0,0	0,950	0,000	5024,748	0,0	13,6		12:43:49:473		
001:25:00,000	12,1	28,2	27,4	12,1	0,0	0,0	0,0	0,950	0,000	5025,167	0,0	12,2		12:44:49:473		
001:26:00,000	6,5	27,1	27,4	6,5	0,0	0,0	0,0	0,950	0,000	5024,306	0,0	6,5		12:45:49:473		
001:27:00,000	0,7	27,1	27,1	0,8	0,0	0,0	0,0	0,950	0,000	5024,417	0,0	1,0		12:46:49:473		
001:28:00,000	10,0	26,1	26,4	10,0	0,0	0,0	0,0	0,950	0,000	5022,710	0,0	10,1		12:47:49:473		
001:29:00,000	6,8	25,4	25,7	6,8	0,0	0,0	0,0	0,950	0,000	5022,694	0,0	6,9		12:48:49:473		
001:30:00,000	12,3	25,6	25,7	12,3	0,0	0,0	0,0	0,950	0,000	5022,454	0,0	12,4		12:49:49:473		
001:31:00,000	12,7	25,7	25,7	12,7	0,0	0,0	0,0	0,950	0,000	5021,869	0,0	12,8		12:50:49:473		
001:32:00,000	12,2	25,2	25,6	12,2	0,0	0,0	0,0	0,950	0,000	5021,633	0,0	12,2		12:51:49:473		
001:33:00,000	12,0	24,3	24,9	12,0	0,0	0,0	0,0	0,950	0,000	5022,355	0,0	12,1		12:52:49:473		
001:34:00,000	12,6	23,9	24,3	12,6	0,0	0,0	0,0	0,950	0,000	5020,685	0,0	12,9		12:53:49:473		
001:35:00,000	13,1	24,5	24,3	13,1	0,0	0,0	0,0	0,950	0,000	5021,435	0,0	13,2		12:54:49:473		
001:36:00,000	13,5	25,1	24,4	13,5	0,0	0,0	0,0	0,950	0,000	5022,561	0,0	13,6		12:55:49:473		
001:37:00,000	12,7	25,7	24,9	12,7	0,0	0,0	0,0	0,950	0,000	5023,861	0,0	12,8		12:56:49:473		
001:38:00,000	12,1	25,7	25,1	12,1	0,0	0,0	0,0	0,950	0,000	5022,157	0,0	12,2		12:57:49:473		
001:39:00,000	11,8	25,6	25,2	11,8	0,0	0,0	0,0	0,950	0,000	5021,954	0,0	11,8		12:58:49:473		
001:40:00,000	10,7	25,0	25,2	10,7	0,0	0,0	0,0	0,950	0,000	5022,019	0,0	10,7		12:59:49:473		
001:41:00,000	11,6	24,1	24,5	11,6	0,0	0,0	0,0	0,950	0,000	5021,710	0,0	11,6		13:00:49:473		
001:42:00,000	11,9	24,2	24,4	11,9	0,0	0,0	0,0	0,950	0,000	5021,250	0,0	12,1		13:01:49:473		
001:43:00,000	11,7	24,0	24,4	11,7	0,0	0,0	0,0	0,950	0,000	5021,389	0,0	11,8		13:02:49:473		
