[Connect DataFile][2.1]
Date:	20/04/2026
Time:	16:59:18
Unit:	°C
Resolution:	60,000/0,100
Values:	12
SnapshotTrigger:	0	0,0
MeasurementTrigger:	0	0,0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
002:28:00,000	-37,6	22,0	22,8	-37,6	0,0	0,0	0,0	0,950	0,000	5019,973	0,0	-37,5		19:27:18:736		
002:29:00,000	-37,4	22,0	22,6	-37,4	0,0	0,0	0,0	0,950	0,000	5019,129	0,0	-37,3		19:28:18:736		
002:30:00,000	-37,3	21,9	22,6	-37,3	0,0	0,0	0,0	0,950	0,000	5019,278	0,0	-37,2		19:29:18:736		
002:31:00,000	-37,2	21,9	22,5	-37,2	0,0	0,0	0,0	0,950	0,000	5019,101	0,0	-36,9		19:30:18:736		
002:32:00,000	-34,7	21,8	22,4	-34,7	0,0	0,0	0,0	0,950	0,000	5018,574	0,0	-34,5		19:31:18:736		
002:33:00,000	-29,3	21,7	22,4	-29,3	0,0	0,0	0,0	0,950	0,000	5018,306	0,0	-29,1		19:32:18:736		
002:34:00,000	-36,8	21,5	22,3	-36,8	0,0	0,0	0,0	0,950	0,000	5018,725	0,0	-36,5		19:33:18:736		
002:35:00,000	-36,7	21,5	22,2	-36,7	0,0	0,0	0,0	0,950	0,000	5018,704	0,0	-36,5		19:34:18:736		
002:36:00,000	-36,6	21,5	22,2	-36,5	0,0	0,0	0,0	0,950	0,000	5018,556	0,0	-36,5		19:35:18:736		
002:37:00,000	-36,3	21,4	22,2	-36,3	0,0	0,0	0,0	0,950	0,000	5018,578	0,0	-36,0		19:36:18:736		
002:38:00,000	-35,7	21,4	22,2	-35,7	0,0	0,0	0,0	0,950	0,000	5019,704	0,0	-35,7		19:37:18:736		
002:39:00,000	-35,9	21,3	22,1	-35,9	0,0	0,0	0,0	0,950	0,000	5019,602	0,0	-35,6		19:38:18:736		
002:40:00,000	-36,0	21,3	22,1	-36,0	0,0	0,0	0,0	0,950	0,000	5018,417	0,0	-35,7		19:39:18:736		
002:41:00,000	-35,8	21,4	22,1	-35,8	0,0	0,0	0,0	0,950	0,000	5019,194	0,0	-35,5		19:40:18:736		
002:42:00,000	-36,0	21,3	22,0	-36,0	0,0	0,0	0,0	0,950	0,000	5018,458	0,0	-35,9		19:41:18:736		
002:43:00,000	-36,5	21,0	21,9	-36,5	0,0	0,0	0,0	0,950	0,000	5018,926	0,0	-36,3		19:42:18:736		
002:44:00,000	-36,3	20,8	21,6	-36,3	0,0	0,0	0,0	0,950	0,000	5016,963	0,0	-36,2		19:43:18:736		
002:45:00,000	-36,5	20,6	21,4	-36,5	0,0	0,0	0,0	0,950	0,000	5017,491	0,0	-36,4		19:44:18:736		
002:46:00,000	-36,0	20,6	21,4	-35,9	0,0	0,0	0,0	0,950	0,000	5018,389	0,0	-35,7		19:45:18:736		
002:47:00,000	-36,3	20,6	21,4	-36,3	0,0	0,0	0,0	0,950	0,000	5017,611	0,0	-36,2		19:46:18:736		
002:48:00,000	-36,0	20,5	21,3	-36,0	0,0	0,0	0,0	0,950	0,000	5018,358	0,0	-35,8		19:47:18:736		
002:49:00,000	-37,0	20,5	21,3	-37,0	0,0	0,0	0,0	0,950	0,000	5017,528	0,0	-36,7		19:48:18:736		
002:50:00,000	-37,0	20,5	21,3	-37,0	0,0	0,0	0,0	0,950	0,000	5017,454	0,0	-36,7		19:49:18:736		
002:51:00,000	-36,8	20,4	21,2	-36,8	0,0	0,0	0,0	0,950	0,000	5016,981	0,0	-36,6		19:50:18:736		
002:52:00,000	-37,4	20,4	21,2	-37,4	0,0	0,0	0,0	0,950	0,000	5017,602	0,0	-37,3		19:51:18:736		
002:53:00,000	-37,8	20,5	21,2	-37,8	0,0	0,0	0,0	0,950	0,000	5018,222	0,0	-37,5		19:52:18:736		
002:54:00,000	-38,0	20,4	21,2	-38,0	0,0	0,0	0,0	0,950	0,000	5017,798	0,0	-37,8		19:53:18:736		
002:55:00,000	-38,0	20,4	21,2	-38,0	0,0	0,0	0,0	0,950	0,000	5017,657	0,0	-37,9		19:54:18:736		
002:56:00,000	-38,0	20,2	21,1	-38,0	0,0	0,0	0,0	0,950	0,000	5017,741	0,0	-37,8		19:55:18:736		
002:57:00,000	-37,8	20,1	21,0	-37,8	0,0	0,0	0,0	0,950	0,000	5016,787	0,0	-37,6		19:56:18:736		
002:58:00,000	-37,5	20,0	20,9	-37,5	0,0	0,0	0,0	0,950	0,000	5017,694	0,0	-37,5		19:57:18:736		
002:59:00,000	-37,5	20,0	20,8	-37,5	0,0	0,0	0,0	0,950	0,000	5016,743	0,0	-37,2		19:58:18:736		
003:00:00,000	-37,5	19,9	20,7	-37,5	0,0	0,0	0,0	0,950	0,000	5016,121	0,0	-37,2		19:59:18:736		
003:01:00,000	-38,2	19,8	20,7	-38,2	0,0	0,0	0,0	0,950	0,000	5020,670	0,0	-38,1		20:00:18:736		
003:02:00,000	-38,1	19,7	20,6	-38,1	0,0	0,0	0,0	0,950	0,000	5022,537	0,0	-37,7		20:01:18:736		
003:03:00,000	-37,7	19,6	20,5	-37,7	0,0	0,0	0,0	0,950	0,000	5021,852	0,0	-37,4		20:02:18:736		
003:04:00,000	-37,8	19,5	20,4	-37,8	0,0	0,0	0,0	0,950	0,000	5017,101	0,0	-37,5		20:03:18:736		
003:05:00,000	-38,0	19,4	20,3	-38,0	0,0	0,0	0,0	0,950	0,000	5017,546	0,0	-37,7		20:04:18:736		
003:06:00,000	-37,9	19,4	20,3	-37,9	0,0	0,0	0,0	0,950	0,000	5015,750	0,0	-37,9		20:05:18:736		
003:07:00,000	-37,7	19,4	20,3	-37,7	0,0	0,0	0,0	0,950	0,000	5016,532	0,0	-37,5		20:06:18:736		
003:08:00,000	-37,9	19,3	20,3	-37,9	0,0	0,0	0,0	0,950	0,000	5017,139	0,0	-37,8		20:07:18:736		
003:09:00,000	-38,5	19,2	20,1	-38,5	0,0	0,0	0,0	0,950	0,000	5017,064	0,0	-38,4		20:08:18:736		
003:10:00,000	-38,5	19,2	20,1	-38,5	0,0	0,0	0,0	0,950	0,000	5016,333	0,0	-38,2		20:09:18:736		
003:11:00,000	-38,8	19,2	20,1	-38,8	0,0	0,0	0,0	0,950	0,000	5016,546	0,0	-38,6		20:10:18:736		
